,sin(GLAT),cos(GLON),sin(GLON),log10(Energy_Flux100),log10(Unc_Energy_Flux100),log10(Signif_Avg),LP_index1000MeV,LP_beta,LP_SigCurv,log10(Variability_Index),CLASS1,1_RF,1_NN,2_RF,2_NN,3_RF,3_NN,4_RF,4_NN,5_RF,5_NN
4FGL J0004.4-4737,-0.924132,0.8088731,-0.5879832,-11.271175,-12.431243,1.2934799,2.4168262,0.0708326771855354,1.824046611785889,2.185504,fsrq,0.06430404640633844,0.07393665133033087,0.0,0.00032190683229683763,0.0,0.0007409107030612934,0.9356959535936615,0.9197973762581948,0.0,0.005203154876116249
4FGL J0004.4-4001,-0.9605141,0.92044675,-0.390868,-11.579415,-12.472885,1.0252641,2.060696,0.0927416607737541,1.2740238904953003,1.5530096,unas,0.7100628990727793,0.7345626019337214,0.000650694755345516,0.001623543921106077,0.0010842348508944477,0.00568881717174388,0.28653080653789903,0.25041529736307727,0.0016713647830814797,0.007709739610351271
4FGL J0005.6+6746c,0.09205997,-0.47882107,0.8779125,-11.353838,-11.800553,0.6881292,2.6912382,0.4141820073127746,3.218540906906128,1.1601167,unas,0.06808630161261744,0.07729079346794157,0.19720597790773225,0.0479805611639576,0.03228070175438598,0.019541886744255846,0.4775230879581757,0.7022014556460651,0.2249039307670887,0.15298530297777987
4FGL J0005.9+3824,-0.40056235,-0.3944596,0.9189133,-11.188751,-12.267908,1.2202905,2.7843473,0.1857199966907501,3.510133981704712,1.6150181,fsrq,0.0656768751630946,0.05116603332408637,0.008571428571428572,0.003187515770939341,0.0009523809523809524,0.002278294981404786,0.9009718220516403,0.9324066611454543,0.02382749326145553,0.010961494778115062
4FGL J0006.3-1813,-0.9716287,0.323088,0.94636893,-11.989327,-12.5417385,0.6093166,2.0634017,0.0447623133659362,0.3089129030704498,1.1571767,unas,0.6255619638576233,0.7812005399580889,0.0007060333761232349,0.0020431478179892474,0.015077625997274115,0.002974760684036258,0.35750001127086395,0.21041782425886998,0.0011543654981152663,0.003363727281015419
4FGL J0006.3-0620,-0.9179291,-0.063609466,0.9979749,-11.845959,-12.497899,0.72044086,1.9229547,0.1246007829904556,1.0373724699020386,1.3688327,bll,0.8278029271477875,0.7745523864494985,0.00115101637886448,0.002079853446951513,0.00072790154872916,0.0010090669939832038,0.16606108659260302,0.2202657626990676,0.004257068332015794,0.002092930410499271
4FGL J0006.4+0135,-0.8598299,-0.18184844,0.98332655,-11.983517,-12.577105,0.8141607,1.1334021,0.3439277112483978,2.0740771293640137,0.68851304,bll,0.8754004292384641,0.8439515907854063,0.014308083292343007,0.030257009996956567,0.008884467757197496,0.01472660008864689,0.08064059472168915,0.10419058082810671,0.02076642499030621,0.006874218300883408
4FGL J0006.4-5621,-0.8631506,0.7106596,-0.70353603,-11.888372,-12.542782,0.66316324,2.4248319,0.1763264238834381,1.169952154159546,1.0467057,bll,0.28802670043190354,0.18388205219690795,0.01414285714285714,0.012222828049656728,0.004836601307189542,0.010610891989023456,0.6433885555255519,0.6308424268739624,0.049605285592497876,0.16244180089044943
4FGL J0006.6+4618,-0.2734509,-0.42135793,0.9068944,-12.122066,-12.69107,0.7806916,-0.72628057,0.696883499622345,2.7792601585388184,1.0318725,unas,0.8187744031547394,0.8511787226195795,0.0072764207809263605,0.009548229362248585,0.0031666522341733685,0.01903060803511521,0.14718794008212358,0.11117555429300219,0.023594583748037294,0.009066885690054574
4FGL J0007.0+7303,0.18157788,-0.4948921,0.8689544,-9.36492,-11.487939,2.569364,1.6364633,0.2782940566539764,76.61576843261719,0.57669103,psr,0.01375,0.002222285214358531,0.17625000000000005,0.1822411474151567,0.10000000000000002,0.06597817733673562,0.00625,0.0016110602008040627,0.70375,0.747947329832945
4FGL J0007.4-0322,-0.89898604,-0.12466259,0.9921992,-12.193755,-12.735433,0.7508671,-2.2289734,0.992812991142273,2.871277093887329,1.0486444,unas,0.788823744609546,0.8102571986188534,0.028844833306322704,0.016829966579443207,0.025452956691844445,0.033176243707407835,0.13453727887946274,0.12185410261559801,0.02234118651282403,0.017882488478697573
4FGL J0007.7+4008,-0.374166,-0.40573204,0.9139921,-11.464487,-12.271063,1.1774929,1.7860489,0.1454445719718933,2.4661614894866943,1.5522116,bcu,0.9800621118202781,0.9278916019038038,0.0018337111420374213,0.0012286556011028812,0.0007888570422605237,0.0018445346058280358,0.01693357164023139,0.06826965080139448,0.00038174835519251207,0.000765557087871057
4FGL J0008.0+4711,-0.25938475,-0.42761433,0.9039613,-10.726528,-12.036628,1.7260984,1.8823855,0.0758369266986846,4.3269548416137695,0.7613631,bll,0.6960424918876484,0.5170433431301058,0.061197755855576665,0.036792216987556796,0.1283963691319229,0.41593873420088606,0.0743478313448204,0.020130629478898116,0.04001555178003168,0.010095076202553262
4FGL J0008.0-3937,-0.9640181,0.91351837,-0.40679747,-11.680104,-12.392283,0.73536736,2.715892,0.219093456864357,1.914081573486328,1.22025,bcu,0.11944477950609629,0.05372023354706024,0.009795321637426902,0.01070265200643865,0.0008538011695906432,0.004371065164704287,0.8548615081751813,0.8443456151691897,0.015044589511704964,0.08686043411260731
4FGL J0008.4+6926,0.11988956,-0.48706898,0.8733635,-11.351322,-12.00456,0.83500296,2.2411752,0.057287722826004,0.9357820749282836,1.0440569,unas,0.5405392545666508,0.6447317551625045,0.02903484609576628,0.004783528178364153,0.07651737568004079,0.016670117249070773,0.2051351461110889,0.31284310831495704,0.14877337754645328,0.020971491095103618
4FGL J0008.4-2339,-0.98385644,0.6392358,0.7690108,-11.6671,-12.380887,1.057665,0.85574543,0.1993669271469116,2.6448888778686523,1.0975814,bll,0.9287073361761352,0.9583702147719922,0.009093631979806515,0.002384358654571094,0.004119927506677517,0.017630954253119478,0.0534297084995692,0.0195262041945373,0.0046493958378117355,0.002088268125779882
4FGL J0008.4+1455,-0.7274938,-0.30443323,0.95253366,-11.363466,-12.261932,1.241504,1.8397909,0.1053333804011344,2.4028213024139404,1.7147954,bcu,0.8913398623539582,0.9401684027609019,0.0011304054326276487,0.000671135046547497,0.00042647135228208793,0.0012983841505496494,0.1067293767978841,0.057435037199071635,0.0003738840632476501,0.00042704084292975915
4FGL J0008.9+2509,-0.5979692,-0.3569843,0.9341104,-11.6773405,-12.329494,0.57939875,3.1095061,0.1916704922914505,1.3551570177078247,1.2555735,unas,0.11853923902848808,0.029273451278744374,0.020749461372730083,0.0022529984926852476,0.00035087719298245617,0.0015162669027301372,0.8527441474903554,0.9559366787002455,0.00761627491544389,0.011020604625594725
4FGL J0009.1-5012,-0.9102893,0.7592158,-0.65083903,-11.705537,-12.382532,0.9503575,2.2921882,0.1640565246343612,2.057619571685791,1.136814,unas,0.424058960607546,0.36484745800009716,0.08335091782087864,0.01616055520047666,0.01376159334485562,0.017498531000843996,0.43316553772801336,0.46730891292981824,0.04566299049870623,0.13418454286876402
4FGL J0009.1+0628,-0.81783146,-0.25005445,0.9682318,-11.23474,-12.313517,1.236094,2.074663,0.0471641756594181,1.3527389764785769,1.1748611,bll,0.9467952348464326,0.9298395384857914,0.0010715885909677366,0.00130775587044142,0.004076849979709906,0.006108724909006038,0.047920268065267065,0.06178773457972625,0.00013605851762256603,0.000956246155034912
4FGL J0009.2+6847,0.10861229,-0.48648688,0.87368786,-11.101646,-11.87424,1.059241,2.6417751,0.4263482093811035,5.754358291625977,1.1663888,unas,0.050628723608708806,0.03003672213605588,0.358653346328785,0.281867040861293,0.06526315789473688,0.08117457879824715,0.2139099378597772,0.11449955618434494,0.3115448343079922,0.4924221020200591
4FGL J0009.2+1745,-0.6942204,-0.3240705,0.94603294,-11.813185,-12.380919,0.83434767,2.2138689,0.4044544696807861,2.7511467933654785,1.1302414,unas,0.31902782878002595,0.2692696044899995,0.05314960390845053,0.07506370786179431,0.016184050633116412,0.012033928268503163,0.4205475371659847,0.5649977132206235,0.19109097951242238,0.07863504615907947
4FGL J0009.3+5030,-0.20455734,-0.44032097,0.89784044,-10.639759,-12.037007,1.7910007,1.8391688,0.0695276111364364,5.271940231323242,2.3111928,bll,0.9292299590603115,0.976216153504481,0.0009847994613956651,0.0004047462553586035,0.0009110845295055822,0.0019465956111533787,0.06886545751425029,0.021261606943245265,8.69943453675511e-06,0.00017089768576192003
4FGL J0009.7-1418,-0.96083736,0.1096343,0.993972,-11.534702,-12.438172,0.9634354,2.4800673,0.0854187682271003,1.3233710527420044,1.1419446,unas,0.38186410528476705,0.4380807390892733,0.0007090411213218231,0.005256951410989175,0.002472692464572682,0.007506790402828711,0.6117680281907606,0.5353892016066945,0.0031861329385778807,0.013766317490214137
4FGL J0009.7-3217,-0.9835377,0.9999311,0.01174092,-11.6277895,-12.485202,0.9575941,2.149558,0.0580571517348289,0.9210495948791504,1.4461677,rdg,0.830629472767836,0.6817688376341252,0.0001160292787905475,0.0014618549615120166,0.00030873383544384643,0.005059095666876422,0.16636945983736146,0.3053109771692482,0.002576304280568052,0.006399234568238143
4FGL J0009.8-4317,-0.94978744,0.845961,-0.53324485,-11.563348,-12.510091,1.1108565,2.16816,0.0005519107799045,0.0,1.1402565,bll,0.8710973105288644,0.8957955237785404,5.155569303637984e-05,0.001578236444659843,4.4308712011427976e-05,0.041016882421863674,0.1287844269146062,0.05412736642764701,2.2398151481729854e-05,0.0074819909272889435
4FGL J0009.8+1340,-0.7428102,-0.30490068,0.9523842,-11.911145,-12.497143,0.6843936,-0.29165387,0.7426486015319824,1.8656766414642332,1.0753319,bcu,0.8502525555308845,0.8072258791901258,0.005915608110824111,0.011856300478023375,0.005547778888536764,0.009555624331607566,0.11365952227763096,0.16132157832433905,0.02462453519212367,0.010040617675904251
4FGL J0009.8-6358,-0.7939006,0.64821935,-0.7614537,-11.822094,-12.484496,0.6451319,2.906715,-0.0135477110743522,0.1948514580726623,1.1010113,bcu,0.20747961866124318,0.07648848492288071,0.0,0.0028223744752342867,0.001408187134502924,0.004589446380239488,0.7455993500155094,0.8611935684960297,0.04551284418874449,0.054906125725615616
4FGL J0009.9+2810,-0.55639905,-0.37349674,0.9276315,-11.889725,-12.505725,0.691717,2.0295057,0.036489725112915,0.310248464345932,1.1610626,unas,0.8955630964947509,0.8640172681916485,0.0003919474736322733,0.001113218307353166,0.0033865387492355093,0.0019353905362673098,0.10018956003927683,0.1313644045357232,0.0004688572431047633,0.0015697184290076474
4FGL J0010.1+1631,-0.709796,-0.32247663,0.9465774,-11.998282,-12.519475,0.6275511,1.7518202,0.0898013114929199,0.6776749491691589,1.0354538,unas,0.7396132034176315,0.9005409519579711,0.002119125480700599,0.0014797035613491947,0.015372539591757418,0.0022814955912488504,0.24242706993978108,0.0942730613401148,0.00046806157012964676,0.0014247875493158845
4FGL J0010.2-2431,-0.98592114,0.69050914,0.72332364,-11.989074,-12.580564,0.66835225,1.7621553,0.1511910259723663,1.069894552230835,1.0236503,unas,0.8486530706827926,0.7971609674962317,0.0010930318333360785,0.005379443582960821,0.01494260468330165,0.007764892379998896,0.1303057848972715,0.18143541373458485,0.0050055079032980026,0.008259282806223721
4FGL J0010.6+2043,-0.657747,-0.34560516,0.93838,-11.709281,-12.393344,0.73123926,2.2900622,0.0703887194395065,0.6575003862380981,1.4843308,fsrq,0.5492279013407415,0.4154086971096192,0.00892182896567225,0.0011112469582903054,0.002254113815900723,0.001132119615270869,0.42926045088260806,0.5786886839494604,0.010335704995077293,0.0036592523673592142
4FGL J0010.6-3025,-0.9862346,0.9839981,0.17817898,-11.270302,-12.349692,1.3327279,2.424331,0.1562431305646896,3.686152935028076,2.2273116,fsrq,0.039368633702445074,0.04424894570031135,0.0,0.0007241174403148358,0.0,0.00027793201560965137,0.9605598667940793,0.9521062680840109,7.149950347567031e-05,0.002642736759753324
4FGL J0010.8-2154,-0.982937,0.49574396,0.8684687,-11.802651,-12.513598,0.78377706,2.3938494,-0.0141692608594894,0.2491492182016372,1.0785738,bcu,0.45866087720406584,0.6870079496603237,5.198180636777128e-06,0.0024044780606099925,0.0028283382013745066,0.006627325434975166,0.524426983750415,0.2972772668815376,0.014078602663507956,0.006682979962553777
4FGL J0011.4-4110,-0.95990515,0.8725137,-0.48858964,-11.870988,-12.50022,0.66482735,2.477804,0.086630031466484,0.7645527124404907,0.8852484,bcu,0.3471259354887288,0.2991121155186791,0.0056262508122157245,0.010869040765642312,0.0018260837278381138,0.018186534160592998,0.6221605213942191,0.5532466868463687,0.02326120857699806,0.11858562270871685
4FGL J0011.4+0057,-0.86865485,-0.2148586,0.9766452,-11.128639,-12.179447,1.3527387,2.2913756,0.0835054665803909,2.32918643951416,2.3637378,fsrq,0.127792270531401,0.09289962602515177,0.0,0.0003706639884428629,0.0,0.00030279810463102196,0.8695410628019324,0.9052678126177612,0.0026666666666666666,0.0011590992640130263
4FGL J0011.8-3142,-0.98551244,0.9990031,0.044640206,-11.897185,-12.558655,0.80150276,1.7141004,0.0540836453437805,0.3966097235679626,1.3906807,bcu,0.8500627375031692,0.9371083227861763,0.00037829243906788894,0.0007355880441971807,0.021937247908547383,0.004571210009247047,0.12094376706331365,0.0559642850334275,0.006677955085902058,0.0016205941269523143
4FGL J0012.0+7043,0.1411023,-0.49486887,0.86896765,-11.283765,-12.078502,0.9727418,2.361543,0.0081448722630739,0.192668467760086,1.278688,bcu,0.6357541194953307,0.6652970934499014,0.008205321313631634,0.0011532179113107627,0.020887884009035653,0.007186729873389819,0.2869077511658851,0.3185151157611493,0.048244924016117186,0.007847843004248782
4FGL J0013.0+3355,-0.47373793,-0.40506,0.91429013,-11.746469,-12.46515,0.813172,2.0655265,0.0995983332395553,1.1006333827972412,1.7751843,fsrq,0.5196258453362124,0.568620455170822,9.278673356820042e-05,0.0006755139996901233,3.683218742042272e-05,0.0007844154939017278,0.47552606255230584,0.42828664719602944,0.004718473190493236,0.0016329681395566014
4FGL J0013.1-3955,-0.96563685,0.8857169,-0.46422574,-11.384413,-12.345479,1.3333386,1.7920285,0.1328691989183426,3.236982822418213,1.3856281,bll,0.9544178957435354,0.9446734932685833,0.012823324074807971,0.004380911079416369,0.000346349226897318,0.01593300793559103,0.030959503890015765,0.03047211784300736,0.001452927064743571,0.004540469873401953
4FGL J0013.4+0950,-0.7869614,-0.30306578,0.9529696,-11.696476,-12.372703,0.87801385,2.2621171,-0.0700673386454582,1.208228588104248,1.261037,bcu,0.6894357215454345,0.8629080406205327,0.009393658404888448,0.0008978761994022607,0.0007222747656828037,0.0028621066559577626,0.2888191811551042,0.1316764049862259,0.011629164128890148,0.0016555715378814514
4FGL J0013.6+4051,-0.3657059,-0.4266919,0.9043971,-11.695366,-12.419169,0.843352,2.3964274,-0.0616911202669143,1.23724365234375,1.0201521,agn,0.6973234769805133,0.792741012460356,0.002,0.001944416699723623,0.014000000000000002,0.009533676731841672,0.2556765230194868,0.19104615504640646,0.030999999999999993,0.004734739061672175
4FGL J0013.6-0424,-0.9103458,-0.1678046,0.9858203,-11.665265,-12.370081,0.84061825,2.212592,-0.0322580523788929,0.5136111378669739,1.0840626,fsrq,0.8128375306117597,0.8877824832226471,0.003953557460541961,0.0011517127664890082,3.929359404463955e-05,0.002711429451057766,0.18134880166138306,0.10688407236951461,0.0018208166722705464,0.0014703021902913456
4FGL J0013.9-1854,-0.97847986,0.26576135,0.96403885,-11.510439,-12.41804,1.1233145,1.8752588,0.0169063322246074,0.3299658000469208,0.9514243,bll,0.9567884312143632,0.9647096317335211,2.073804206750384e-05,0.0005667960047581407,0.0048539522182844885,0.011820230981665198,0.03832089704232888,0.022285323130828164,1.5981482955982262e-05,0.000618018149227668
4FGL J0014.1+1910,-0.6797847,-0.3565739,0.9342671,-11.49229,-12.385068,0.9870663,2.257833,0.1249431073665618,1.673720121383667,1.6762383,bll,0.41341063457001165,0.26709038635810745,0.01695297314001358,0.0008229031184853731,0.0012539936102236421,0.000599259152497638,0.5601838369180899,0.7293885215662221,0.008198561761661186,0.002098929804687375
4FGL J0014.1-5022,-0.911366,0.73672205,-0.6761957,-11.477555,-12.451077,1.1329483,2.1064107,-0.0003947861550841,0.0,1.0534244,bll,0.9244951381356616,0.8811423072258495,0.0010867908046166461,0.0013954319156962082,5.184995491254485e-05,0.05849380749893712,0.07431874872556499,0.05247538997248526,4.747237924398981e-05,0.0064930633870320135
4FGL J0014.2+0854,-0.79707783,-0.30267847,0.9530927,-11.658978,-12.271661,0.63964605,2.497279,-0.0119275292381644,0.1376980394124984,1.0975455,bll,0.40604746852368884,0.40081571205962035,0.0,0.0019276076030564102,0.007272727272727273,0.003639684649086816,0.5500737435975233,0.5861501086316768,0.03660606060606061,0.007466887056559433
4FGL J0014.3-0500,-0.9148356,-0.16521074,0.98625827,-11.283647,-12.200998,1.1171736,2.3119953,0.0503947548568248,1.0103936195373535,1.3894119,bcu,0.5935421873469588,0.6809862579284073,0.003727322213120369,0.0013535143032637551,0.002813688556055592,0.00318118985560338,0.38256703247974944,0.3115259316664512,0.017349769404115832,0.002953106246274479
4FGL J0014.7+5801,-0.07842615,-0.47062308,0.88233435,-11.589811,-12.372226,1.0346084,0.7507986,0.1828110218048095,2.2758946418762207,1.0490403,bll,0.9718455117692806,0.9800819665031395,0.0052198767227594825,0.0005698572652836262,0.0013469845881793209,0.006765541307390719,0.019090794839088147,0.01231322506073386,0.0024968320806924684,0.00026940986345238616
4FGL J0014.8+6118,-0.021940328,-0.47803724,0.8783396,-11.188778,-12.119291,1.2474202,1.5235512,0.1468026638031005,3.4596800804138184,1.088997,bcu,0.8903583614687757,0.9205307062649302,0.028804898358179523,0.008923957571644074,0.015919219665127958,0.03242955514071543,0.054707753047640355,0.03551035599944511,0.010209767460276591,0.002605425023265395
4FGL J0014.9+3212,-0.5003306,-0.40689176,0.9134764,-11.314874,-12.319631,1.1805888,2.6890955,0.2091518491506576,3.5913491249084477,1.6247505,bcu,0.04661318275399275,0.06701250552259651,0.004912280701754386,0.004368418670190147,0.0,0.0025206102203388643,0.932659975314963,0.9134994740704028,0.015814561229289714,0.012598991516471814
